FOLIO,VIV_SEL,P1_1,P1_2,P1_3,P3_0,P3_1,P3_2,P3_3,P3_3A,P3_4,P3_4A,P3_5,P3_6,P3_7_1,P3_7_2,P3_8_1,P3_8_2,P3_9_1,P3_9_2,P4_1,P4_2_1,P4_2_2,P4_3,P4_4,P4_5,P4_6,P4_7,P4_8,P4_9,P4_10,P4_10A,P4_11,P4_12,P4_13_1,P4_13_2,P4_14_1,P4_14_2,P4_15_1,P4_15_2,P4_15_3,P4_15_4,P4_16,P4_17,P4_18,P4_19,P4_20_1,P4_20_2,P4_21,P4_22,P4_23_1,P4_23_2,P4_24,P4_25,P4_26,P4_27,P4_28,P4_29,P4_30,P4_31_1,P4_31_2,P4_32,P4_33,P4_34_1,P4_34_2,P4_35,P4_36,P4_37,P4_38,P4_39,P4_40,P4_41,P4_42,P4_43_1,P4_44_1,P4_45_1_1,P4_45_1_2,P4_46_1,P4_47_1,P4_48_1_1,P4_48_1_2,P4_43_2,P4_44_2,P4_45_2_1,P4_45_2_2,P4_46_2,P4_47_2,P4_48_2_1,P4_48_2_2,P4_43_3,P4_44_3,P4_45_3_1,P4_45_3_2,P4_46_3,P4_47_3,P4_48_3_1,P4_48_3_2,P4_43_4,P4_44_4,P4_45_4_1,P4_45_4_2,P4_46_4,P4_47_4,P4_48_4_1,P4_48_4_2,P4_49,P4_50,P4_51,P4_52,P4_53,P4_54,P4_55,EDIS,UPM_DIS,FAC_VIV,ESTRATO,TLOC,ENT
1,1,2,1,,1,2,5,1,1,1,0,1,7,42,,999,9,999,9,1,1,,1,1,,,,1,2000,500000,,1978,3,200000,0,,,2,2,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,200000,2,,,,100000,2,1,584,3,1,1
2,2,1,1,,1,4,6,1,1,2,0,1,15,45,,175,,350,,1,1,,1,1,,,,2,999999,1200000,,1979,3,999999999,0,,,2,2,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,35000,2,1,584,3,1,1
3,3,3,1,,1,3,5,1,1,3,0,1,15,30,,999,9,999,9,3,,,,,,,999999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,999999999,2,1,584,3,1,1
4,4,3,1,,1,3,6,1,1,2,0,1,5,48,,157,,157,,1,1,,1,2,,,,1,999999,999999999,9,1972,3,999999999,0,,,2,2,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,999999999,2,,,,30000,2,1,584,3,1,1
5,5,7,1,,1,5,6,1,1,1,0,1,8,30,,66,,56,,1,1,,1,1,,,,2,1500,1000000,,1989,3,999999999,0,,,2,2,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,70000,2,1,584,3,1,1
6,1,2,1,,1,4,5,1,2,1,0,1,5,40,,59,,119,,4,,,,,,,1500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40000,2,2,700,3,1,1
7,2,1,1,,1,4,7,1,1,2,0,1,7,99,9,999,9,999,9,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5000,2,2,700,3,1,1
8,4,4,1,,1,2,3,1,2,1,0,1,3,99,9,999,9,999,9,2,,,,,3,1200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1000,2,2,700,3,1,1
9,5,4,1,,2,3,5,1,1,1,0,1,7,99,9,,,999,9,2,,,,,3,2600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20000,2,2,700,3,1,1
10,1,2,1,,1,2,4,1,1,1,0,1,5,60,,999,9,999,9,1,1,,1,1,,,,1,2000,300000,,1960,3,999999999,0,,,2,2,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,999999999,2,,,,150000,1,3,867,2,1,1
11,2,1,1,,1,2,6,1,1,1,0,1,6,99,9,999,9,999,9,2,,,,,3,1400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10000,1,3,867,2,1,1
12,4,2,1,,1,3,6,1,1,1,1,1,7,50,,36,,999,9,1,1,,1,1,,,,2,3000,999999999,9,1967,2,,,999999999,0,2,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,10000,1,3,867,2,1,1
13,1,5,1,,1,3,4,1,1,1,0,1,9,99,9,120,,120,,3,,,,,,,1500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50000,1,4,859,2,1,1
14,2,6,1,,1,3,6,1,2,0,1,1,6,80,,999,9,999,9,3,,,,,,,1500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2000,1,4,859,2,1,1
15,2,5,1,,1,2,5,1,1,2,0,1,7,30,,999,9,999,9,1,1,2,1,1,,,,1,3500,1600000,,2017,2,,,1400000,0,1,2,2,1,2,1,1,999999999,6,2017,30,2,,,,,,,,5000,5000,99,9,1,999999999,28,7,2,,,,999999999,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80000,2,,,,80000,1,5,1034,2,1,1
16,3,5,1,,1,2,3,1,2,0,1,1,4,99,9,999,9,999,9,2,,,,,3,1000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10000,1,5,1034,2,1,1
17,4,2,1,,1,2,5,1,1,3,0,1,13,51,,300,,270,,3,,,,,,,4000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,800,1,5,1034,2,1,1
18,5,5,1,,1,4,6,1,1,3,1,1,10,30,,300,,350,,1,1,,2,,,,,1,5000,999999999,9,2013,2,,,900000,0,2,1,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,1,500000,1,2013,300000,3000,5,1,2,,,,,,,,2,,,,,,,,,300000,2,,,,80000,1,5,1034,2,1,1
19,1,4,1,,2,1,2,1,1,1,0,1,2,99,9,,,99,,2,,,,,3,1500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80000,1,6,1041,2,1,1
20,2,3,1,,1,2,4,1,1,1,1,1,16,35,,999,9,999,9,1,1,,1,1,,,,2,3500,1100000,,1981,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,70000,1,6,1041,2,1,1
21,4,4,1,,1,4,6,1,1,4,0,1,30,10,,225,,180,,1,1,,1,2,,,,2,3000,2000000,,2010,2,,,700000,0,2,2,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,100000,1,6,1041,2,1,1
22,5,2,1,,1,2,3,1,1,1,0,1,5,90,,999,9,999,9,2,,,,,3,1000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10000,1,6,1041,2,1,1
23,1,3,1,,1,3,6,1,1,1,0,1,6,40,,154,,120,,1,1,,1,1,,,,1,3000,620000,,1990,2,,,380000,1,2,2,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,380000,2,,,,150000,1,7,753,2,1,1
24,2,2,1,,1,2,4,1,1,1,1,1,3,40,,999,9,999,9,4,,,,,,,999999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30000,1,7,753,2,1,1
25,3,3,1,,1,2,4,1,1,1,1,1,5,30,,999,9,999,9,1,0,2,1,1,,,,2,1500,999999999,9,1990,2,,,999999999,0,2,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,999999999,1,7,753,2,1,1
26,4,2,1,,1,2,3,1,1,1,0,1,5,99,9,999,9,999,9,2,,,,,3,3000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,999999999,1,7,753,2,1,1
27,5,2,1,,1,2,5,1,1,3,0,1,7,30,,285,,200,,1,1,,1,1,,,,2,2000,1000000,,1990,2,,,150000,1,2,2,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,1000,1,7,753,2,1,1
28,1,8,1,,1,5,7,1,1,2,1,1,17,99,6,600,,999,6,1,2,,1,1,,,,2,999999,999999999,4,9999,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,50000,2,8,667,3,1,1
29,2,2,1,,1,3,7,1,1,1,0,1,12,50,,90,,90,,3,,,,,,,3000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35000,2,8,667,3,1,1
30,3,1,1,,1,2,5,1,1,1,0,1,5,99,7,999,5,999,5,1,1,,1,1,,,,2,2500,999999999,4,9999,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,999999999,2,8,667,3,1,1
31,4,3,1,,1,3,6,1,1,2,2,1,10,35,,250,,999,8,1,1,3,1,1,,,,2,10000,2000000,,1967,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,30000,2,8,667,3,1,1
32,5,6,1,,1,3,5,1,2,1,0,1,6,50,,999,4,999,6,1,1,,1,1,,,,2,2000,999999888,4,1980,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,10000,2,8,667,3,1,1
33,2,3,1,,1,2,2,1,2,1,0,1,3,18,,999,1,999,1,2,,,,,3,1500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1000,2,9,627,3,1,1
34,4,2,1,,1,1,4,1,1,1,0,1,6,50,,70,,70,,2,,,,,1,2300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30000,2,9,627,3,1,1
35,1,4,1,,1,3,4,1,1,1,0,1,11,12,,160,,124,,1,1,,1,1,,,,2,7000,1300000,,2013,2,,,820000,0,2,1,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,20000,1,10,986,2,1,1
36,3,2,1,,1,1,3,1,1,1,0,1,13,10,,104,,50,,1,1,,1,1,,,,2,1800,400000,,2009,1,,,49000,1,1,2,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,30000,1,10,986,2,1,1
37,4,2,1,,1,2,3,1,1,0,1,1,3,99,7,999,1,999,2,2,,,,,3,700,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30000,1,10,986,2,1,1
38,5,1,1,,4,2,3,1,1,1,0,1,4,99,9,,,999,2,2,,,,,3,1500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1000,1,10,986,2,1,1
39,1,3,1,,1,3,5,1,1,2,0,1,8,99,7,150,,100,,2,,,,,3,2750,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20000,2,11,639,3,1,1
40,2,4,1,,1,2,3,1,2,0,1,1,7,99,7,999,4,999,2,1,1,2,1,1,,,,2,999999,350000,,2004,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,7000,2,11,639,3,1,1
41,4,4,1,,1,3,5,1,1,2,0,1,8,99,5,150,,150,,2,,,,,3,2500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20000,2,11,639,3,1,1
42,5,6,1,,1,3,5,1,1,2,0,1,6,42,,150,,90,,4,,,,,,,2000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80000,2,11,639,3,1,1
43,1,2,1,,1,2,3,1,1,1,0,1,4,99,7,999,3,999,4,2,,,,,2,999888,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,999999888,2,12,572,3,1,1
44,2,6,1,,1,4,7,1,1,1,0,1,8,99,7,999,4,999,7,1,2,,1,1,,,,2,3500,250000,,1959,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,40000,2,12,572,3,1,1
45,3,1,1,,1,3,5,1,1,1,1,1,8,99,6,999,5,999,9,3,,,,,,,999999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,999999999,2,12,572,3,1,1
46,4,6,1,,1,2,5,1,1,1,0,1,3,99,6,220,,999,6,1,2,3,1,1,,,,2,3000,1000000,,2015,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,15000,2,12,572,3,1,1
47,5,5,1,,1,4,6,1,1,2,1,1,7,99,6,250,,50,,1,5,1,1,1,,,,2,1200,999999999,9,1976,2,,,150000,1,2,1,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,999999999,2,12,572,3,1,1
48,1,4,1,,2,3,6,1,1,1,0,1,6,99,6,,,90,,2,,,,,3,2000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20000,2,13,651,3,1,1
49,3,1,1,,2,2,5,1,1,1,0,1,11,38,,,,999,4,1,1,,1,1,,,,1,3000,350000,,1988,2,,,300000,0,2,1,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,1,300000,11,1988,0,,,,2,,,,,,,,2,,,,,,,,,999999999,2,,,,70000,2,13,651,3,1,1
50,4,4,1,,2,3,5,1,1,1,0,1,9,30,,,,86,,1,2,,1,1,,,,1,2500,350000,,2000,2,,,260000,0,1,2,1,1,1,1,1,250000,9,2009,30,2,,,,,,,,1500,1500,99,9,1,200000,20,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41000,10000,2,,,,20000,2,13,651,3,1,1
51,5,3,1,,2,3,7,1,1,1,0,1,10,99,3,,,999,4,2,,,,,1,1000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40000,2,13,651,3,1,1
52,1,4,1,,1,3,7,1,1,3,1,1,10,36,,300,,999,7,1,1,,1,1,,,,2,999999,999999999,5,1984,3,999999999,0,,,2,2,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,50000,3,14,378,4,1,1
53,2,3,1,,1,3,5,1,1,1,0,1,8,20,,120,,80,,2,,,,,2,3500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11000,3,14,378,4,1,1
54,4,3,1,,1,2,8,1,1,3,1,1,15,30,,200,,250,,1,1,,1,1,,,,2,10000,2000000,,2015,2,,,1500000,0,1,2,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,500000,3,14,378,4,1,1
55,5,5,1,,1,4,7,1,1,2,1,1,22,30,,192,,96,,1,1,2,1,1,,,,2,11000,1800000,,2015,2,,,1600000,0,1,2,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,150000,3,14,378,4,1,1
56,1,1,1,,1,3,5,1,1,4,1,1,25,28,,198,,195,,1,1,,1,1,,,,2,5000,1300000,,1994,3,3000000,1,,,1,2,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,200000,3,15,378,4,1,1
57,2,1,1,,1,2,5,1,1,2,0,1,15,50,,300,,155,,3,,,,,,,6000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40000,3,15,378,4,1,1
58,3,3,1,,1,2,7,1,1,2,1,1,12,99,5,999,6,999,6,2,,,,,3,5000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40000,3,15,378,4,1,1
59,4,1,1,,1,3,6,1,1,1,1,1,16,30,,90,,120,,3,,,,,,,4000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50000,3,15,378,4,1,1
60,3,3,1,,1,3,6,1,1,3,1,1,10,30,,200,,175,,1,2,,1,1,,,,2,5000,1300000,,1988,1,,,160000,1,2,2,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,30000,2,16,619,3,1,1
61,4,2,1,,4,1,4,1,1,1,0,1,6,99,6,,,999,5,2,,,,,3,2000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,999999888,2,16,619,3,1,1
62,5,6,1,,1,3,4,1,2,1,0,1,7,99,7,999,2,999,4,2,,,,,3,1900,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25000,2,16,619,3,1,1
63,4,2,1,,1,3,5,1,1,2,0,1,10,99,6,999,5,999,7,3,,,,,,,3500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30000,2,17,656,3,1,1
64,5,5,1,,1,3,4,1,1,1,0,1,12,40,,200,,150,,1,3,,1,1,,,,2,3500,1500000,,1980,3,999999999,0,,,2,2,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,30000,2,17,656,3,1,1
65,1,1,1,,1,1,4,1,1,1,0,1,5,50,,330,,120,,3,,,,,,,999999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,70000,3,18,392,4,1,1
66,2,3,1,,1,3,7,1,1,1,1,1,19,70,,170,,150,,1,1,2,1,1,,,,2,7000,999999999,5,1970,3,999999999,0,,,2,2,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,50000,3,18,392,4,1,1
67,3,3,1,,1,5,7,1,1,2,1,1,11,45,,180,,100,,1,1,,1,1,,,,2,3000,1000000,,1978,3,15000,1,,,2,2,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,25000,3,18,392,4,1,1
68,1,2,1,,1,1,4,1,1,1,1,1,15,15,,999,5,120,,3,,,,,,,6000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30000,3,19,415,4,1,1
69,2,2,1,,1,3,5,1,1,1,1,1,8,15,,160,,80,,1,1,,1,1,,,,2,5000,1500000,,2004,3,600000,1,,,2,2,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,80000,3,19,415,4,1,1
70,3,1,1,,1,4,6,1,1,2,1,1,11,45,,999,6,999,6,1,1,,1,1,,,,2,5000,1500000,,1974,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,25000,3,19,415,4,1,1
71,5,4,1,,1,3,5,1,1,1,0,1,16,35,,420,,280,,1,1,,1,1,,,,2,5000,2500000,,2002,3,999999999,0,,,2,2,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,50000,3,19,415,4,1,1
72,1,2,1,,1,2,5,1,1,1,1,1,8,70,,130,,999,7,1,1,,1,1,,,,2,1500,1000000,,1984,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,100000,2,20,741,3,1,1
73,2,1,1,,1,1,4,1,1,1,1,1,15,30,,320,,80,,1,1,,1,1,,,,2,4000,1600000,,1985,3,7000,1,,,2,2,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,17000,2,20,741,3,1,1
74,3,4,1,,1,1,3,1,1,1,0,1,6,35,,999,1,999,3,3,,,,,,,1500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5000,2,20,741,3,1,1
75,5,2,1,,1,2,8,1,1,2,0,1,8,65,,100,,80,,1,1,,1,1,,,,2,5000,2000000,,1984,3,18000,1,,,2,2,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,25000,2,20,741,3,1,1
76,1,4,1,,1,3,5,1,1,1,0,1,5,50,,200,,100,,1,1,,1,1,,,,2,999999,999999999,3,1980,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,32000,1,21,1003,2,1,1
77,2,1,1,,4,2,3,1,1,1,0,1,10,99,9,,,99,,2,,,,,3,1100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20000,1,21,1003,2,1,1
78,1,2,1,,1,2,4,1,1,2,0,1,16,15,,150,,70,,1,1,,1,1,,,,2,6000,1200000,,2006,1,,,601000,0,1,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,150000,3,22,427,4,1,1
79,3,5,1,,1,3,5,1,1,2,1,1,15,21,,160,,999,5,3,,,,,,,5000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,300000,3,22,427,4,1,1
80,4,2,1,,1,2,4,1,1,3,0,1,13,18,,126,,90,,1,2,,1,1,,,,2,4000,1400000,,2003,1,,,600000,0,1,2,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,40000,3,22,427,4,1,1
81,1,2,1,,1,1,5,1,1,1,1,1,3,33,,120,,999,5,1,1,,1,1,,,,2,999999,999999999,2,1982,3,400000,0,,,2,2,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,10000,2,23,646,3,1,1
